"","BIRTH","COUNTRY","GENDER","ObsValue","RATE","TIME_FORMAT","Time"
"213","FB","AUT","MEN","71.1","N_RATE","P1Y","2014"
"214","FB","AUT","MEN","71.7","N_RATE","P1Y","2015"
"215","FB","AUT","MEN","70.8","N_RATE","P1Y","2016"
"216","FB","AUT","MEN","72.3","N_RATE","P1Y","2017"
"217","FB","AUT","MEN","75.3","N_RATE","P1Y","2018"
"218","FB","AUT","MEN","75.2","N_RATE","P1Y","2019"
"219","FB","AUT","MEN","72.6","N_RATE","P1Y","2020"
"220","FB","AUT","MEN","74.9","N_RATE","P1Y","2021"
"221","FB","AUT","MEN","8.7","U_RATE","P1Y","2000"
"222","FB","AUT","MEN","7.6","U_RATE","P1Y","2001"
"223","FB","AUT","MEN","10","U_RATE","P1Y","2002"
"224","FB","AUT","MEN","9.5","U_RATE","P1Y","2003"
"225","FB","AUT","MEN","11.2","U_RATE","P1Y","2004"
"226","FB","AUT","MEN","10.8","U_RATE","P1Y","2005"
"227","FB","AUT","MEN","9.7","U_RATE","P1Y","2006"
"228","FB","AUT","MEN","8.4","U_RATE","P1Y","2007"
"229","FB","AUT","MEN","7.3","U_RATE","P1Y","2008"
"230","FB","AUT","MEN","10.7","U_RATE","P1Y","2009"
"231","FB","AUT","MEN","8.8","U_RATE","P1Y","2010"
"232","FB","AUT","MEN","8","U_RATE","P1Y","2011"
"233","FB","AUT","MEN","9.6","U_RATE","P1Y","2012"
"234","FB","AUT","MEN","10.4","U_RATE","P1Y","2013"
"235","FB","AUT","MEN","10.8","U_RATE","P1Y","2014"
"236","FB","AUT","MEN","11.1","U_RATE","P1Y","2015"
"237","FB","AUT","MEN","12.4","U_RATE","P1Y","2016"
"238","FB","AUT","MEN","10.9","U_RATE","P1Y","2017"
"239","FB","AUT","MEN","9.6","U_RATE","P1Y","2018"
"240","FB","AUT","MEN","8.2","U_RATE","P1Y","2019"
"241","FB","AUT","MEN","11.2","U_RATE","P1Y","2020"
"242","FB","AUT","MEN","11","U_RATE","P1Y","2021"
"243","FB","AUT","MEN","83.3","P_RATE","P1Y","2000"
"244","FB","AUT","MEN","82.9","P_RATE","P1Y","2001"
"245","FB","AUT","MEN","81.6","P_RATE","P1Y","2002"
"246","FB","AUT","MEN","83.5","P_RATE","P1Y","2003"
"247","FB","AUT","MEN","79.1","P_RATE","P1Y","2004"
"248","FB","AUT","MEN","79.7","P_RATE","P1Y","2005"
"249","FB","AUT","MEN","80.3","P_RATE","P1Y","2006"
"250","FB","AUT","MEN","81.9","P_RATE","P1Y","2007"
"251","FB","AUT","MEN","80.8","P_RATE","P1Y","2008"
"252","FB","AUT","MEN","81.2","P_RATE","P1Y","2009"
"253","FB","AUT","MEN","80.6","P_RATE","P1Y","2010"
"254","FB","AUT","MEN","81.5","P_RATE","P1Y","2011"
"255","FB","AUT","MEN","81.3","P_RATE","P1Y","2012"
"256","FB","AUT","MEN","81.2","P_RATE","P1Y","2013"
"257","FB","AUT","MEN","79.7","P_RATE","P1Y","2014"
"258","FB","AUT","MEN","80.7","P_RATE","P1Y","2015"
"259","FB","AUT","MEN","80.8","P_RATE","P1Y","2016"
"260","FB","AUT","MEN","81.1","P_RATE","P1Y","2017"
"261","FB","AUT","MEN","83.3","P_RATE","P1Y","2018"
"262","FB","AUT","MEN","82","P_RATE","P1Y","2019"
"263","FB","AUT","MEN","81.5","P_RATE","P1Y","2020"
"264","FB","AUT","MEN","84.2","P_RATE","P1Y","2021"
"265","FB","AUT","WMN","58.3","N_RATE","P1Y","2000"
"266","FB","AUT","WMN","56.7","N_RATE","P1Y","2001"
"267","FB","AUT","WMN","59.1","N_RATE","P1Y","2002"
"268","FB","AUT","WMN","60.4","N_RATE","P1Y","2003"
"269","FB","AUT","WMN","53.7","N_RATE","P1Y","2004"
"270","FB","AUT","WMN","54.2","N_RATE","P1Y","2005"
"271","FB","AUT","WMN","55.1","N_RATE","P1Y","2006"
"272","FB","AUT","WMN","56.1","N_RATE","P1Y","2007"
"273","FB","AUT","WMN","56.6","N_RATE","P1Y","2008"
"274","FB","AUT","WMN","57.5","N_RATE","P1Y","2009"
"275","FB","AUT","WMN","59.8","N_RATE","P1Y","2010"
"276","FB","AUT","WMN","59.2","N_RATE","P1Y","2011"
"277","FB","AUT","WMN","58.6","N_RATE","P1Y","2012"
"278","FB","AUT","WMN","58.5","N_RATE","P1Y","2013"
"279","FB","AUT","WMN","59.3","N_RATE","P1Y","2014"
"280","FB","AUT","WMN","58.2","N_RATE","P1Y","2015"
"281","FB","AUT","WMN","58.9","N_RATE","P1Y","2016"
"282","FB","AUT","WMN","59.3","N_RATE","P1Y","2017"
"283","FB","AUT","WMN","61.2","N_RATE","P1Y","2018"
"284","FB","AUT","WMN","62.9","N_RATE","P1Y","2019"
"285","FB","AUT","WMN","59.9","N_RATE","P1Y","2020"
"286","FB","AUT","WMN","60.6","N_RATE","P1Y","2021"
"287","FB","AUT","WMN","7.2","U_RATE","P1Y","2000"
"288","FB","AUT","WMN","7.3","U_RATE","P1Y","2001"
"289","FB","AUT","WMN","7.1","U_RATE","P1Y","2002"
"290","FB","AUT","WMN","6.7","U_RATE","P1Y","2003"
"291","FB","AUT","WMN","10.7","U_RATE","P1Y","2004"
"292","FB","AUT","WMN","10.5","U_RATE","P1Y","2005"
"293","FB","AUT","WMN","9.8","U_RATE","P1Y","2006"
"294","FB","AUT","WMN","9.7","U_RATE","P1Y","2007"
"295","FB","AUT","WMN","7.8","U_RATE","P1Y","2008"
"296","FB","AUT","WMN","8.2","U_RATE","P1Y","2009"
"297","FB","AUT","WMN","7.6","U_RATE","P1Y","2010"
"298","FB","AUT","WMN","8.3","U_RATE","P1Y","2011"
"299","FB","AUT","WMN","8.2","U_RATE","P1Y","2012"
"300","FB","AUT","WMN","9.3","U_RATE","P1Y","2013"
"301","FB","AUT","WMN","9.5","U_RATE","P1Y","2014"
"302","FB","AUT","WMN","10.2","U_RATE","P1Y","2015"
"303","FB","AUT","WMN","10.4","U_RATE","P1Y","2016"
"304","FB","AUT","WMN","10.5","U_RATE","P1Y","2017"
"305","FB","AUT","WMN","9.2","U_RATE","P1Y","2018"
"306","FB","AUT","WMN","8.4","U_RATE","P1Y","2019"
"307","FB","AUT","WMN","12.3","U_RATE","P1Y","2020"
"308","FB","AUT","WMN","11.6","U_RATE","P1Y","2021"
"309","FB","AUT","WMN","62.8","P_RATE","P1Y","2000"
"310","FB","AUT","WMN","61.1","P_RATE","P1Y","2001"
"311","FB","AUT","WMN","63.6","P_RATE","P1Y","2002"
"312","FB","AUT","WMN","64.8","P_RATE","P1Y","2003"
"313","FB","AUT","WMN","60.1","P_RATE","P1Y","2004"
"314","FB","AUT","WMN","60.6","P_RATE","P1Y","2005"
"315","FB","AUT","WMN","61","P_RATE","P1Y","2006"
"316","FB","AUT","WMN","62.1","P_RATE","P1Y","2007"
"317","FB","AUT","WMN","61.4","P_RATE","P1Y","2008"
"318","FB","AUT","WMN","62.6","P_RATE","P1Y","2009"
"319","FB","AUT","WMN","64.7","P_RATE","P1Y","2010"
"320","FB","AUT","WMN","64.6","P_RATE","P1Y","2011"
"321","FB","AUT","WMN","63.8","P_RATE","P1Y","2012"
"322","FB","AUT","WMN","64.5","P_RATE","P1Y","2013"
"323","FB","AUT","WMN","65.5","P_RATE","P1Y","2014"
"324","FB","AUT","WMN","64.8","P_RATE","P1Y","2015"
"325","FB","AUT","WMN","65.7","P_RATE","P1Y","2016"
"326","FB","AUT","WMN","66.2","P_RATE","P1Y","2017"
"327","FB","AUT","WMN","67.4","P_RATE","P1Y","2018"
"328","FB","AUT","WMN","68.7","P_RATE","P1Y","2019"
"329","FB","AUT","WMN","67.7","P_RATE","P1Y","2020"
"330","FB","AUT","WMN","68.5","P_RATE","P1Y","2021"
"331","FB","AUT","TOT","66.8","N_RATE","P1Y","2000"
"332","FB","AUT","TOT","66.6","N_RATE","P1Y","2001"
"333","FB","AUT","TOT","65.9","N_RATE","P1Y","2002"
"334","FB","AUT","TOT","67.7","N_RATE","P1Y","2003"
"335","FB","AUT","TOT","61.6","N_RATE","P1Y","2004"
"336","FB","AUT","TOT","62.2","N_RATE","P1Y","2005"
"337","FB","AUT","TOT","63.4","N_RATE","P1Y","2006"
"338","FB","AUT","TOT","65","N_RATE","P1Y","2007"
"339","FB","AUT","TOT","65.1","N_RATE","P1Y","2008"
"340","FB","AUT","TOT","64.7","N_RATE","P1Y","2009"
"341","FB","AUT","TOT","66.3","N_RATE","P1Y","2010"
"342","FB","AUT","TOT","66.7","N_RATE","P1Y","2011"
"343","FB","AUT","TOT","65.6","N_RATE","P1Y","2012"
"344","FB","AUT","TOT","65.2","N_RATE","P1Y","2013"
"345","FB","AUT","TOT","64.9","N_RATE","P1Y","2014"
"346","FB","AUT","TOT","64.7","N_RATE","P1Y","2015"
"347","FB","AUT","TOT","64.6","N_RATE","P1Y","2016"
"348","FB","AUT","TOT","65.6","N_RATE","P1Y","2017"
"349","FB","AUT","TOT","68","N_RATE","P1Y","2018"
"350","FB","AUT","TOT","68.9","N_RATE","P1Y","2019"
"351","FB","AUT","TOT","66.1","N_RATE","P1Y","2020"
"352","FB","AUT","TOT","67.6","N_RATE","P1Y","2021"
"353","FB","AUT","TOT","8","U_RATE","P1Y","2000"
"354","FB","AUT","TOT","7.5","U_RATE","P1Y","2001"
"355","FB","AUT","TOT","8.7","U_RATE","P1Y","2002"
"356","FB","AUT","TOT","8.3","U_RATE","P1Y","2003"
"357","FB","AUT","TOT","11","U_RATE","P1Y","2004"
"358","FB","AUT","TOT","10.6","U_RATE","P1Y","2005"
"359","FB","AUT","TOT","9.8","U_RATE","P1Y","2006"
"360","FB","AUT","TOT","9","U_RATE","P1Y","2007"
"361","FB","AUT","TOT","7.5","U_RATE","P1Y","2008"
"362","FB","AUT","TOT","9.5","U_RATE","P1Y","2009"
"363","FB","AUT","TOT","8.2","U_RATE","P1Y","2010"
"364","FB","AUT","TOT","8.2","U_RATE","P1Y","2011"
"365","FB","AUT","TOT","8.9","U_RATE","P1Y","2012"
"366","FB","AUT","TOT","9.9","U_RATE","P1Y","2013"
"367","FB","AUT","TOT","10.1","U_RATE","P1Y","2014"
"368","FB","AUT","TOT","10.7","U_RATE","P1Y","2015"
"369","FB","AUT","TOT","11.4","U_RATE","P1Y","2016"
"370","FB","AUT","TOT","10.7","U_RATE","P1Y","2017"
"371","FB","AUT","TOT","9.4","U_RATE","P1Y","2018"
"372","FB","AUT","TOT","8.3","U_RATE","P1Y","2019"
"373","FB","AUT","TOT","11.6","U_RATE","P1Y","2020"
"374","FB","AUT","TOT","11.3","U_RATE","P1Y","2021"
"375","FB","AUT","TOT","72.7","P_RATE","P1Y","2000"
